Date,amount_in_usd,euro_price,rolling_avg
2021-01-04,32013.657608160636,39363.99339499432,
2021-01-05,34033.02844076571,41761.9291996636,
2021-01-06,36845.42719009862,45459.88806714368,
2021-01-07,39485.03871628065,48471.83352810613,
2021-01-08,40638.66321617064,49782.36243980903,
2021-01-11,35435.65105196162,43100.382374500914,
2021-01-12,34033.1270330233,41387.685784859634,44189.72496986819
2021-01-13,37380.05783087508,45476.578357042614,45062.95139301794
2021-01-14,39115.16169599422,47423.22204022339,45871.707513097914
2021-01-15,36751.118697750244,44553.381197282615,45742.20653168919
2021-01-18,36635.73709163373,44197.35322734693,45131.5664887236
2021-01-19,35910.4430569214,43566.54951665705,44243.59321398759
2021-01-20,35500.97573787246,42959.730740399464,44223.500123401675
2021-01-21,30834.975924568964,37489.16372909095,43666.568401149
2021-01-22,32978.65509038433,40095.44885888927,42897.835615698525
2021-01-25,32263.031155651868,39206.035460348154,41723.951818573485
2021-01-26,32510.005765041406,39476.900000489775,40998.74021903165
2021-01-27,30420.103620682847,36850.9135260952,39949.248833138554
2021-01-28,33447.711282308104,40441.627711438734,39502.831432393075
2021-01-29,34258.70212830517,41576.36090291116,39305.207169894755
2021-02-01,33539.10300280868,40528.65206859401,39739.41978982376
2021-02-02,35504.720256366854,42761.88507676824,40120.33924952075
2021-02-03,37676.07494733297,45275.33926421003,40987.38265007245
2021-02-04,36981.97460991207,44363.576742050514,41685.47932743827
2021-02-05,38318.49042400525,45917.04707508549,42980.64126300831
2021-02-08,46445.54808704057,55850.77157466629,45181.94752918368
2021-02-09,46496.443817465246,56279.29559665993,47282.36677114778
2021-02-10,44842.77562737279,54380.83400331497,49261.24990467935
2021-02-11,48099.28450629842,58426.20088980068,51499.00930654113
2021-02-12,47407.35498048744,57400.8254103742,53231.22161313601
2021-02-15,47928.934007870586,58133.00405814624,55198.28265829255
2021-02-16,49262.75663491218,59819.765381773854,57184.38527353374
2021-02-17,52158.95343834736,62903.697846646915,58191.94616953097
2021-02-18,51584.6023151462,62334.83343762266,59057.023003954215
2021-02-19,55951.07987755098,67919.01586335913,60991.04898396053
2021-02-22,54129.45619613322,65675.26920276844,62026.63017152735
2021-02-23,48909.54895640467,59390.86529776219,62310.92158401135
2021-02-24,49734.20642179292,60407.167119909675,62635.802021406125
2021-02-25,47085.01708424623,57561.433385491015,62313.18316479429
2021-02-26,46309.90958385055,56132.24140658525,61345.83224478548
